Probe Set Name	Description
ENSG00000085276_at	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]
ENSG00000085365_at	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]
ENSG00000085377_at	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]
ENSG00000085382_at	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21033]
ENSG00000085415_at	SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]
ENSG00000085433_at	WD repeat domain 47 [Source:HGNC Symbol;Acc:HGNC:29141]
ENSG00000085449_at	WD repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20451]
ENSG00000085465_at	oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]
ENSG00000085491_at	solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]
ENSG00000085511_at	mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]
ENSG00000085514_at	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]
ENSG00000085552_at	immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132]
ENSG00000085563_at	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]
ENSG00000085644_at	zinc finger protein 213 [Source:HGNC Symbol;Acc:HGNC:13005]
ENSG00000085662_at	aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]
ENSG00000085719_at	copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]
ENSG00000085721_at	RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]
ENSG00000085733_at	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]
ENSG00000085741_at	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]
ENSG00000085760_at	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]
ENSG00000085788_at	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]
ENSG00000085831_at	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]
ENSG00000085832_at	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]
ENSG00000085840_at	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]
ENSG00000085871_at	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]
ENSG00000085978_at	autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]
ENSG00000085982_at	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]
ENSG00000085998_at	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:HGNC:19139]
ENSG00000085999_at	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]
ENSG00000086015_at	microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]
ENSG00000086061_at	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]
ENSG00000086062_at	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]
ENSG00000086065_at	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]
ENSG00000086102_at	nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]
ENSG00000086159_at	aquaporin 6 [Source:HGNC Symbol;Acc:HGNC:639]
ENSG00000086189_at	DIM1 dimethyladenosine transferase 1 homolog [Source:HGNC Symbol;Acc:HGNC:30217]
ENSG00000086200_at	importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]
ENSG00000086205_at	folate hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3788]
ENSG00000086232_at	eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]
ENSG00000086289_at	ependymin related 1 [Source:HGNC Symbol;Acc:HGNC:17572]
ENSG00000086300_at	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]
ENSG00000086475_at	selenophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:19685]
ENSG00000086504_at	mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]
ENSG00000086506_at	hemoglobin subunit theta 1 [Source:HGNC Symbol;Acc:HGNC:4833]
ENSG00000086544_at	inositol-trisphosphate 3-kinase C [Source:HGNC Symbol;Acc:HGNC:14897]
ENSG00000086548_at	carcinoembryonic antigen related cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]
ENSG00000086570_at	FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596]
ENSG00000086589_at	RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]
ENSG00000086598_at	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]
ENSG00000086619_at	endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]
ENSG00000086696_at	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]
ENSG00000086712_at	taxilin gamma [Source:HGNC Symbol;Acc:HGNC:18578]
ENSG00000086717_at	protein phosphatase with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:9243]
ENSG00000086730_at	linker for activation of T cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]
ENSG00000086758_at	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:30892]
ENSG00000086827_at	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]
ENSG00000086848_at	ALG9, alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]
ENSG00000086967_at	myosin binding protein C, fast type [Source:HGNC Symbol;Acc:HGNC:7550]
ENSG00000086991_at	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]
ENSG00000087008_at	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]
ENSG00000087053_at	myotubularin related protein 2 [Source:HGNC Symbol;Acc:HGNC:7450]
ENSG00000087074_at	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]
ENSG00000087076_at	hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]
ENSG00000087077_at	thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:HGNC:12311]
ENSG00000087085_at	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]
ENSG00000087086_at	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]
ENSG00000087087_at	serrate, RNA effector molecule [Source:HGNC Symbol;Acc:HGNC:24101]
ENSG00000087088_at	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]
ENSG00000087095_at	nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]
ENSG00000087116_at	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]
ENSG00000087128_at	transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]
ENSG00000087152_at	ataxin 7 like 3 [Source:HGNC Symbol;Acc:HGNC:25416]
ENSG00000087157_at	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]
ENSG00000087191_at	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]
ENSG00000087206_at	ubiquitin interaction motif containing 1 [Source:HGNC Symbol;Acc:HGNC:30298]
ENSG00000087237_at	cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869]
ENSG00000087245_at	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]
ENSG00000087250_at	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]
ENSG00000087253_at	lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]
ENSG00000087258_at	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]
ENSG00000087263_at	2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]
ENSG00000087266_at	SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
ENSG00000087269_at	NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]
ENSG00000087274_at	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]
ENSG00000087299_at	L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499]
ENSG00000087301_at	thioredoxin domain containing 16 [Source:HGNC Symbol;Acc:HGNC:19965]
ENSG00000087302_at	RNA transcription, translation and transport factor [Source:HGNC Symbol;Acc:HGNC:23169]
ENSG00000087303_at	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]
ENSG00000087338_at	germ cell-less, spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23843]
ENSG00000087365_at	splicing factor 3b subunit 2 [Source:HGNC Symbol;Acc:HGNC:10769]
ENSG00000087448_at	kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]
ENSG00000087460_at	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]
ENSG00000087470_at	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]
ENSG00000087494_at	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]
ENSG00000087495_at	phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]
ENSG00000087502_at	ERGIC and golgi 2 [Source:HGNC Symbol;Acc:HGNC:30208]
ENSG00000087510_at	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]
ENSG00000087586_at	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]
ENSG00000087589_at	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]
ENSG00000087842_at	pirin [Source:HGNC Symbol;Acc:HGNC:30048]
ENSG00000087884_at	adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]
ENSG00000087903_at	regulatory factor X2 [Source:HGNC Symbol;Acc:HGNC:9983]
ENSG00000088002_at	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]
ENSG00000088035_at	ALG6, alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]
ENSG00000088038_at	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]
ENSG00000088053_at	glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]
ENSG00000088179_at	protein tyrosine phosphatase, non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656]
ENSG00000088205_at	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]
ENSG00000088247_at	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]
ENSG00000088256_at	G protein subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:4379]
ENSG00000088280_at	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]
ENSG00000088298_at	ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]
ENSG00000088305_at	DNA methyltransferase 3 beta [Source:HGNC Symbol;Acc:HGNC:2979]
ENSG00000088320_at	RRAD and GEM like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:15922]
ENSG00000088325_at	TPX2, microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]
ENSG00000088340_at	fer-1 like family member 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:15801]
ENSG00000088356_at	p53 and DNA damage regulated 1 [Source:HGNC Symbol;Acc:HGNC:16119]
ENSG00000088367_at	erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]
ENSG00000088386_at	solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]
ENSG00000088387_at	dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]
ENSG00000088448_at	ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]
ENSG00000088451_at	TDP-glucose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:20324]
ENSG00000088538_at	dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]
ENSG00000088543_at	chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]
ENSG00000088682_at	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]
ENSG00000088726_at	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]
ENSG00000088727_at	kinesin family member 9 [Source:HGNC Symbol;Acc:HGNC:16666]
ENSG00000088756_at	Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509]
ENSG00000088766_at	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]
ENSG00000088782_at	defensin beta 127 [Source:HGNC Symbol;Acc:HGNC:16206]
ENSG00000088808_at	protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950]
ENSG00000088812_at	attractin [Source:HGNC Symbol;Acc:HGNC:885]
ENSG00000088826_at	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]
ENSG00000088827_at	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]
ENSG00000088833_at	NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912]
ENSG00000088836_at	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]
ENSG00000088854_at	chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]
ENSG00000088881_at	early B cell factor 4 [Source:HGNC Symbol;Acc:HGNC:29278]
ENSG00000088882_at	carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]
ENSG00000088888_at	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]
ENSG00000088899_at	leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139]
ENSG00000088926_at	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]
ENSG00000088930_at	5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]
ENSG00000088970_at	kizuna centrosomal protein [Source:HGNC Symbol;Acc:HGNC:15865]
ENSG00000088986_at	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]
ENSG00000088992_at	tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]
ENSG00000089006_at	sorting nexin 5 [Source:HGNC Symbol;Acc:HGNC:14969]
ENSG00000089012_at	signal regulatory protein gamma [Source:HGNC Symbol;Acc:HGNC:15757]
ENSG00000089022_at	mitogen-activated protein kinase-activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]
ENSG00000089041_at	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]
ENSG00000089048_at	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]
ENSG00000089050_at	RB binding protein 9, serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]
ENSG00000089053_at	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]
ENSG00000089057_at	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]
ENSG00000089060_at	solute carrier family 8 member B1 [Source:HGNC Symbol;Acc:HGNC:26175]
ENSG00000089063_at	transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]
ENSG00000089091_at	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]
ENSG00000089094_at	lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]
ENSG00000089101_at	cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]
ENSG00000089116_at	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]
ENSG00000089123_at	taspase 1 [Source:HGNC Symbol;Acc:HGNC:15859]
ENSG00000089127_at	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
ENSG00000089154_at	GCN1, eIF2 alpha kinase activator homolog [Source:HGNC Symbol;Acc:HGNC:4199]
ENSG00000089159_at	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]
ENSG00000089163_at	sirtuin 4 [Source:HGNC Symbol;Acc:HGNC:14932]
ENSG00000089169_at	rabphilin 3A [Source:HGNC Symbol;Acc:HGNC:17056]
ENSG00000089177_at	kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]
ENSG00000089195_at	tRNA methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:20900]
ENSG00000089199_at	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]
ENSG00000089220_at	phosphatidylethanolamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8630]
ENSG00000089225_at	T-box 5 [Source:HGNC Symbol;Acc:HGNC:11604]
ENSG00000089234_at	BRCA1 associated protein [Source:HGNC Symbol;Acc:HGNC:1099]
ENSG00000089248_at	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]
ENSG00000089250_at	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]
ENSG00000089280_at	FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]
ENSG00000089289_at	immunoglobulin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5461]
ENSG00000089327_at	FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]
ENSG00000089335_at	zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]
ENSG00000089351_at	GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]
ENSG00000089472_at	hephaestin [Source:HGNC Symbol;Acc:HGNC:4866]
ENSG00000089486_at	cell death inducing p53 target 1 [Source:HGNC Symbol;Acc:HGNC:13234]
ENSG00000089558_at	potassium voltage-gated channel subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:6253]
ENSG00000089597_at	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]
ENSG00000089639_at	GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]
ENSG00000089682_at	RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617]
ENSG00000089685_at	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]
ENSG00000089692_at	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]
ENSG00000089693_at	myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126]
ENSG00000089723_at	OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]
ENSG00000089737_at	DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]
ENSG00000089775_at	zinc finger and BTB domain containing 25 [Source:HGNC Symbol;Acc:HGNC:13112]
ENSG00000089847_at	ankyrin repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:29424]
ENSG00000089876_at	DEAH-box helicase 32 (putative) [Source:HGNC Symbol;Acc:HGNC:16717]
ENSG00000089902_at	REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]
ENSG00000089916_at	G-patch domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:20210]
ENSG00000090006_at	latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]
ENSG00000090013_at	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]
ENSG00000090020_at	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]
ENSG00000090054_at	serine palmitoyltransferase long chain base subunit 1 [Source:HGNC Symbol;Acc:HGNC:11277]
ENSG00000090060_at	poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]
ENSG00000090061_at	cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]
ENSG00000090097_at	poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:HGNC:8652]
ENSG00000090104_at	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]
ENSG00000090238_at	yippee like 3 [Source:HGNC Symbol;Acc:HGNC:18327]
ENSG00000090263_at	mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]
ENSG00000090266_at	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]
ENSG00000090273_at	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]
ENSG00000090316_at	macrophage erythroblast attacher [Source:HGNC Symbol;Acc:HGNC:13731]
ENSG00000090339_at	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]
ENSG00000090372_at	striatin 4 [Source:HGNC Symbol;Acc:HGNC:15721]
ENSG00000090376_at	interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]
ENSG00000090382_at	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]
ENSG00000090402_at	sucrase-isomaltase [Source:HGNC Symbol;Acc:HGNC:10856]
ENSG00000090432_at	mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]
ENSG00000090447_at	transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]
ENSG00000090470_at	programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]
ENSG00000090487_at	SPG21, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]
ENSG00000090512_at	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]
ENSG00000090530_at	prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]
ENSG00000090534_at	thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]
ENSG00000090539_at	chordin [Source:HGNC Symbol;Acc:HGNC:1949]
ENSG00000090565_at	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]
ENSG00000090581_at	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]
ENSG00000090612_at	zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061]
ENSG00000090615_at	golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]
ENSG00000090621_at	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]
ENSG00000090659_at	CD209 molecule [Source:HGNC Symbol;Acc:HGNC:1641]
ENSG00000090661_at	ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747]
ENSG00000090674_at	mucolipin 1 [Source:HGNC Symbol;Acc:HGNC:13356]
ENSG00000090686_at	ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533]
ENSG00000090776_at	ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]
ENSG00000090857_at	pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]
ENSG00000090861_at	alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]
ENSG00000090863_at	golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]
ENSG00000090889_at	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]
ENSG00000090905_at	trinucleotide repeat containing 6A [Source:HGNC Symbol;Acc:HGNC:11969]
ENSG00000090924_at	pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]
ENSG00000090932_at	delta like canonical Notch ligand 3 [Source:HGNC Symbol;Acc:HGNC:2909]
ENSG00000090971_at	N-acetyltransferase 14 (putative) [Source:HGNC Symbol;Acc:HGNC:28918]
ENSG00000090975_at	phosphatidylinositol transfer protein membrane associated 2 [Source:HGNC Symbol;Acc:HGNC:21044]
ENSG00000090989_at	exocyst complex component 1 [Source:HGNC Symbol;Acc:HGNC:30380]
ENSG00000091010_at	POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]
ENSG00000091039_at	oxysterol binding protein like 8 [Source:HGNC Symbol;Acc:HGNC:16396]
ENSG00000091073_at	deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]
ENSG00000091106_at	NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]
ENSG00000091127_at	pseudouridylate synthase 7 [Source:HGNC Symbol;Acc:HGNC:26033]
ENSG00000091128_at	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]
ENSG00000091129_at	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]
ENSG00000091136_at	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]
ENSG00000091137_at	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]
ENSG00000091138_at	solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018]
ENSG00000091140_at	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]
ENSG00000091157_at	WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]
ENSG00000091164_at	thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]
ENSG00000091181_at	interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]
ENSG00000091262_at	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]
ENSG00000091317_at	CKLF like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]
ENSG00000091409_at	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]
ENSG00000091428_at	Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]
ENSG00000091436_at	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]
ENSG00000091482_at	small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]
ENSG00000091483_at	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]
ENSG00000091490_at	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]
ENSG00000091513_at	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]
ENSG00000091527_at	CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]
ENSG00000091536_at	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]
ENSG00000091542_at	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]
ENSG00000091583_at	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]
ENSG00000091592_at	NLR family pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14374]
ENSG00000091622_at	PITPNM family member 3 [Source:HGNC Symbol;Acc:HGNC:21043]
ENSG00000091640_at	sperm associated antigen 7 [Source:HGNC Symbol;Acc:HGNC:11216]
ENSG00000091651_at	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]
ENSG00000091656_at	zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939]
ENSG00000091664_at	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]
ENSG00000091704_at	carboxypeptidase A1 [Source:HGNC Symbol;Acc:HGNC:2296]
